,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,RF,RH,LF,LH
26,-21.84882,6.831165,-126.384155,-20.434792,14.310181,363.898834,-0.173349,56.383751,-352.780762,-26.34383,-58.547344,155.598083,11.633162143523833,0.9090086405714088,12.405442511423793,4.22373085735476
27,4.743353,-39.376648,-41.681248,-19.311438,-20.185946,389.736633,-3.818005,56.458126,-388.28421,-113.351151,-51.458206,-196.22757,15.273831355857139,0.07337538578571444,7.359056344574975,5.533201361278564
28,14.604006,-183.165985,49.634628,-9.559431,-143.514786,273.209991,-27.507401,163.811447,-203.103271,-34.005348,-21.086462,-143.603271,13.06500637866666,0.016941264333334222,2.4839088781333185,6.160350437200028
29,19.445202,-113.3228,191.892395,-14.165829,-178.630432,191.177002,-30.848219,-20.527561,-109.888985,-10.201605,114.186066,-157.943985,11.858697955142853,-0.000653578202379557,0.7903798210821366,6.130720929689297
30,5.833561,-105.550842,136.653717,-51.324749,-23.46113,36.640106,-71.393471,-0.509269,-59.328697,19.535517,73.79882,-147.182205,10.34191517257142,0.0004234375000005987,0.1127102589214287,5.988618706728548
31,1.750068,22.941748,57.943115,-51.174427,-120.018341,3.460032,-81.674042,105.295219,-106.299606,24.690655,-115.319351,53.761337,10.510054500428573,-0.03468813728571444,0.03898426852023829,5.2740388017845286
32,0.525021,84.085526,24.914934,-39.831329,-94.378502,204.402023,-84.758217,-23.018435,-105.326889,14.939197,-68.489807,6.713403,11.483708701904769,0.013804006190475828,0.042023486033333605,4.904751555671443
33,3.923506,94.896652,-126.218529,-11.949399,-175.187561,247.73761,-83.800461,57.116467,-193.536072,6.364759,182.817078,24.61002,11.932323871857141,0.04182976567857131,0.054026763099999986,5.897673710760712
34,1.177052,49.181995,-7.737558,9.59618,-163.653275,130.811295,-85.396141,-195.644043,-31.698826,1.909428,81.207123,-84.883995,11.468160026,0.05774969135714335,0.04827582039523762,6.203820153023832
35,0.353116,14.7546,18.391731,19.825855,-101.819984,159.755386,-89.640839,-269.589203,-37.75465,-10.725171,62.022141,74.333801,10.999312347333333,-0.007063264333333153,0.029950374791666692,5.8340869038000065
36,11.403934,-55.82962,-26.493479,19.128757,44.774002,238.109619,-87.148254,-180.675766,-43.337395,-14.515551,73.213646,-75.61586,11.366131488571432,0.025898206000000097,0.07764969514285736,6.99641276191427
37,52.379181,-61.940884,283.916931,26.451626,7.783202,-156.410126,-71.336472,-255.683731,133.872787,-6.237665,89.752098,-137.54776,12.670878571285716,-0.04860318284523815,3.292668229838099,6.354961507369049
38,42.075752,-75.072266,207.570084,17.350489,6.100961,-56.338039,-77.890945,-315.84613,151.258835,-5.6373,13.744631,-139.180328,13.088604614952379,0.19047365750000533,7.965568002688112,3.8144645693690493
39,57.814724,-11.223681,186.549042,5.205147,28.192287,-47.029411,-12.069285,-230.329849,79.271652,-11.10619,-20.35561,-169.798096,11.132572059142856,3.250507346535715,13.410525526582147,1.944238276782142
40,83.24942,21.111897,336.531708,-107.652458,-42.383316,-215.589828,-14.918785,-155.716965,123.580498,-57.938858,8.957317,-327.740448,5.824688639047599,8.569212865190497,14.363235837338094,0.531359349190475
41,87.113831,-91.582428,379.643494,-26.646738,-42.842995,14.40905,-17.656635,-110.737091,-117.331856,-62.573654,-4.844805,-322.399139,2.290704441666666,13.451812570535715,14.621836724980952,0.14647507234523804
42,86.390152,-53.836731,311.608063,3.303977,-71.225899,-22.039284,-3.413991,66.577873,-123.700562,-79.028099,7.961558,-126.847748,0.1903236939999978,15.878052597500005,12.83180819154999,0.09263497254999883
43,29.683048,-123.482025,163.153412,0.991193,-51.495773,76.240211,10.273802,-59.112637,-159.505173,-121.624435,-97.410538,39.148678,0.0064041763333333255,15.27104298996429,10.273567395323811,0.10537182833333325
44,22.085915,26.977386,158.160034,2.180358,14.679268,139.618057,12.497141,144.204208,-153.299561,-85.445328,-102.660164,32.457603,0.011414388952380693,14.253114519857146,7.984411025757135,0.04029707017619121
45,8.508775,92.828217,26.735014,0.654107,-69.033226,134.15242,3.749142,-99.846741,-66.702866,-84.006599,-181.438049,-39.220718,-0.000886028714285711,14.304396360607143,6.775522385903572,-0.022933183564285822
46,2.552633,-115.259537,94.638512,0.196232,143.111023,42.128727,1.124743,-120.33802,-29.425861,-12.020981,-18.654415,-6.117217,0.02147625380952385,14.987398966452382,7.627230582164289,-0.052417830773809834
